case,block_size,renders,rendered_seconds,min_ms_per_rendered_second,median_ms_per_rendered_second,mean_ms_per_rendered_second,cv_percent,peak,rms
CORPUS-0001,32,540,3,3.4814,3.8446,4.0062,16.8,0.2046597,0.0557672
CORPUS-0001,64,540,3,3.0718,3.3925,3.4721,11.6,0.2052674,0.0557315
CORPUS-0001,128,540,3,3.0150,3.1253,3.2352,15.4,0.2052674,0.0557463
CORPUS-0001,256,540,3,2.7189,2.9669,3.0378,12.3,0.2042522,0.0556376
CORPUS-0002,32,540,4,10.4734,11.1453,11.3112,9.9,0.4785565,0.1016910
CORPUS-0002,64,540,4,9.3856,9.8064,10.2133,15.5,0.3802391,0.0940205
CORPUS-0002,128,540,4,8.7369,9.0861,9.4674,16.7,0.4177091,0.0941784
CORPUS-0002,256,540,4,7.9978,8.6176,8.7932,11.6,0.4555826,0.0952049
CORPUS-0003,32,540,3,3.8255,4.2252,4.3962,17.2,0.2018685,0.0733483
CORPUS-0003,64,540,3,3.3794,3.6913,3.7496,8.9,0.2015098,0.0733103
CORPUS-0003,128,540,3,3.2657,3.3954,3.4028,1.7,0.2251263,0.0734484
CORPUS-0003,256,540,3,3.1227,3.2344,3.2440,2.0,0.2196455,0.0733508
CORPUS-0004,32,540,4,8.3448,9.0045,9.2169,12.8,0.2614061,0.0228460
CORPUS-0004,64,540,4,8.4138,8.6927,8.7922,8.0,0.2665300,0.0227477
CORPUS-0004,128,540,4,8.2878,8.5218,8.7163,12.3,0.2660511,0.0229158
CORPUS-0004,256,540,4,8.2148,8.4226,8.6209,11.9,0.2660526,0.0230436
