sweep,case,voices,sample_rate,renders,rounds,min_ms_per_s,median_ms_per_s,mean_ms_per_s
rate,CORPUS-0001,,44100,50,10,2.7749,2.8750,2.9104
rate,CORPUS-0001,,48000,50,10,3.0255,3.1708,3.4655
rate,CORPUS-0001,,96000,50,10,5.9948,6.1810,6.2451
rate,CORPUS-0001,,192000,50,10,11.7939,12.2432,13.1498
rate,CORPUS-0002,,44100,50,10,8.1614,8.4015,8.5056
rate,CORPUS-0002,,48000,50,10,8.9729,9.2109,10.0733
rate,CORPUS-0002,,96000,50,10,17.7843,18.0847,18.2592
rate,CORPUS-0002,,192000,50,10,35.0936,35.9199,36.5338
rate,CORPUS-0003,,44100,50,10,3.0289,3.1162,3.1631
rate,CORPUS-0003,,48000,50,10,3.1900,3.3968,3.5990
rate,CORPUS-0003,,96000,50,10,6.5997,6.7043,6.7725
rate,CORPUS-0003,,192000,50,10,13.0876,13.4597,13.5151
rate,CORPUS-0004,,44100,50,10,7.9823,8.2154,8.9114
rate,CORPUS-0004,,48000,50,10,8.5420,8.8859,8.9657
rate,CORPUS-0004,,96000,50,10,17.1638,17.5074,19.0066
rate,CORPUS-0004,,192000,50,10,33.4959,34.2961,34.6211
polyphony,POLY-001,1,44100,50,10,1.6755,1.7465,1.7581
polyphony,POLY-002,2,44100,50,10,2.8466,2.9237,2.9405
polyphony,POLY-004,4,44100,50,10,5.1445,5.2426,5.2737
polyphony,POLY-008,8,44100,50,10,9.7657,9.9534,9.9767
polyphony,POLY-016,16,44100,50,10,19.0197,19.4611,19.7137
polyphony,POLY-032,32,44100,50,10,37.9801,38.5663,38.8493
polyphony,POLY-064,64,44100,50,10,75.5449,77.2747,80.4005
