case,sample_rate,renders,block_frames,budget_us,p50_us,p99_us,max_us,p50_pct,p99_pct,max_pct,rss_load_mib,rss_prepare_mib,rss_render_mib,rss_mib,peak_rss_mib
CORPUS-0001,44100,15,256,5805.0,19.5,37.2,93.2,0.34,0.64,1.61,5.00,0.05,0.01,13.84,14.12
CORPUS-0001,48000,15,256,5333.3,19.5,37.5,68.8,0.37,0.70,1.29,5.04,0.04,0.01,13.92,14.01
CORPUS-0001,96000,15,256,2666.7,19.1,36.9,73.8,0.71,1.38,2.77,4.95,0.08,0.01,15.08,15.20
CORPUS-0001,192000,15,256,1333.3,18.8,36.6,100.3,1.41,2.75,7.52,5.00,0.08,0.01,17.37,17.51
CORPUS-0002,44100,15,256,5805.0,66.4,75.1,174.6,1.14,1.29,3.01,0.27,1.51,1.35,14.57,15.57
CORPUS-0002,48000,15,256,5333.3,66.0,74.8,123.6,1.24,1.40,2.32,0.27,1.38,1.46,15.76,15.83
CORPUS-0002,96000,15,256,2666.7,65.5,73.5,122.6,2.45,2.76,4.60,0.26,1.51,2.93,16.11,18.00
CORPUS-0002,192000,15,256,1333.3,65.4,74.5,148.2,4.91,5.59,11.12,0.27,0.00,0.00,20.96,22.01
CORPUS-0003,44100,15,256,5805.0,21.2,42.6,96.2,0.36,0.73,1.66,0.58,0.00,0.00,18.45,18.70
CORPUS-0003,48000,15,256,5333.3,21.2,42.6,80.2,0.40,0.80,1.50,0.62,0.00,0.00,19.53,19.77
CORPUS-0003,96000,15,256,2666.7,21.3,42.4,64.3,0.80,1.59,2.41,0.53,0.00,0.00,19.48,19.67
CORPUS-0003,192000,15,256,1333.3,21.2,41.5,143.3,1.59,3.11,10.75,0.59,0.00,0.00,23.62,23.68
CORPUS-0004,44100,15,256,5805.0,45.8,66.7,181.2,0.79,1.15,3.12,0.48,0.00,5.33,23.12,23.48
CORPUS-0004,48000,15,256,5333.3,45.6,66.3,104.1,0.86,1.24,1.95,0.42,0.00,5.45,24.36,24.67
CORPUS-0004,96000,15,256,2666.7,44.8,66.5,87.9,1.68,2.49,3.30,0.47,0.00,6.91,24.64,24.71
CORPUS-0004,192000,15,256,1333.3,44.7,64.0,176.9,3.36,4.80,13.27,0.42,0.00,0.00,29.76,29.99
