case,sample_rate,renders,rounds,min_ms_per_s,median_ms_per_s,mean_ms_per_s
CORPUS-0001,44100,50,10,2.7023,2.9215,2.8947
CORPUS-0001,48000,50,10,2.9357,2.9832,3.0685
CORPUS-0001,96000,50,10,5.8121,5.9982,6.1289
CORPUS-0001,192000,50,10,11.4951,11.6370,11.9346
CORPUS-0002,44100,50,10,7.8085,8.0411,8.2547
CORPUS-0002,48000,50,10,8.5072,8.6182,8.7899
CORPUS-0002,96000,50,10,16.9156,17.2517,17.8400
CORPUS-0002,192000,50,10,33.4045,34.3600,35.2762
CORPUS-0003,44100,50,10,2.9180,2.9530,3.0398
CORPUS-0003,48000,50,10,3.1587,3.1972,3.2964
CORPUS-0003,96000,50,10,6.2456,6.3342,6.5443
CORPUS-0003,192000,50,10,12.4748,12.7263,13.2187
CORPUS-0004,44100,50,10,7.6326,7.8465,8.0594
CORPUS-0004,48000,50,10,8.2979,8.4573,8.7288
CORPUS-0004,96000,50,10,16.3572,17.0898,17.3628
CORPUS-0004,192000,50,10,31.9602,32.7197,33.4188
CORPUS-0005,44100,50,10,2.4449,2.6455,2.5947
CORPUS-0005,48000,50,10,2.6641,2.6759,2.7365
CORPUS-0005,96000,50,10,5.2674,5.2985,5.4202
CORPUS-0005,192000,50,10,10.5179,10.5801,11.0068
CORPUS-0006,44100,50,10,1.2645,1.3907,1.3547
CORPUS-0006,48000,50,10,1.3708,1.3890,1.4190
CORPUS-0006,96000,50,10,2.6797,2.7171,2.7805
CORPUS-0006,192000,50,10,5.2790,5.8891,5.6875
CORPUS-0007,44100,50,10,1.3846,1.5058,1.4764
CORPUS-0007,48000,50,10,1.4966,1.5117,1.5434
CORPUS-0007,96000,50,10,2.9347,2.9945,3.0714
CORPUS-0007,192000,50,10,5.7999,5.9760,6.1305
CORPUS-0008,44100,50,10,1.5102,1.6156,1.6085
CORPUS-0008,48000,50,10,1.6221,1.6470,1.6827
CORPUS-0008,96000,50,10,3.2010,3.3054,3.3869
CORPUS-0008,192000,50,10,6.3437,6.5251,6.6763
CORPUS-0009,44100,50,10,0.9697,0.9852,1.0236
CORPUS-0009,48000,50,10,1.0247,1.0334,1.0575
CORPUS-0009,96000,50,10,1.9957,2.0184,2.1002
CORPUS-0009,192000,50,10,3.9178,3.9489,4.0803
CORPUS-0010,44100,50,10,2.6200,2.6560,2.7454
CORPUS-0010,48000,50,10,2.8417,2.8647,2.9277
CORPUS-0010,96000,50,10,5.5977,5.6872,5.8870
CORPUS-0010,192000,50,10,11.1437,11.5490,11.8319
