case,input_sha256,output_sha256,frames,files_identical,samples_identical,warnings
CORPUS-0001,ef5f77d2fb8081563b9cef2a10783bfaf493ca02fbc95d977307e84d9953a7d3,ae438c6d03dcc10b4ef831f5fb81baff7829fccce9f8886a303a1bcbc3e2f2df,132300,true,true,0
CORPUS-0002,84894bb855d412d7ca2327290f36822910f56e08c304a111ac1a53ce1baec69e,e5e0a650486228277f54035b959f32b862d21094bb52fe91e1dd888357430708,176400,true,true,0
CORPUS-0003,8c1aec966220c4d564d6308f9a7448af6fe2dad91f755f3ba2f94e25d6fcdfef,3d22d3081eca82c86c6fc9586274b0c8e8ada952a17d582dfbe9987ab5d05991,132300,true,true,0
CORPUS-0004,acc070732534c86d3d7972e3be091f9e7455fa81455b61044ba63726c937c878,e1700bdde84f8d5f3e46838e21860d2b2e648eb50b466281cb640410953d5110,176400,true,true,0
CORPUS-0005,1d55668d424e71cb49d23c5da46f7f35541b8c16669dc1399a8ef28fefe12dbc,c4d3671bf47395acd297a70acef7aa2624d8beb22af3930091b6eeef81aaef1b,176400,true,true,0
CORPUS-0006,3673c69959eb75015ec64880b1e1cd80fa88c201d5412f2601cec232a162fa02,d9670e60e4902244e638d8d90ab4627318a87e896d0ffeeb808e0f5280342f26,110250,true,true,0
CORPUS-0007,bbf14e71f67e8d3a887f4735268accbcc5f9848130c4d5b2317c90786a30389c,b244583e8fbc5cd8a8e0cb8ed574b4ae2ea40398a7e2f32e0ae24448ae73d25c,110250,true,true,0
CORPUS-0008,67154f00b7b200fa902fddd233a7bda95562dcbf30ed6a61b5d2524093b32732,c27d6f50944633f076cfcbc4c509f2615fe0043465d1e9e35e3d910da0a30b51,110250,true,true,0
CORPUS-0009,8fde10b1a1044543d3b8d73d3910a08d3e4619145d105949a58457add39a8bba,0ab5e3f9ff4547c6ce1fc50cbf7709e3e04e914129965241edd0e2b8a8aac99e,198438,true,true,0
CORPUS-0010,9f89a955bee104063af9c8d5ba657e4f8e023cb62124b85941ae6e538d1fdca6,caee2c6ff59796a5b501c0cbe1de66816a4246218fea2dc1c5a8c24a0f02099a,110250,true,true,0
