case,sample_rate,renders,block_frames,budget_us,median_p50_us,median_p99_us,observed_max_us,median_p50_pct,median_p99_pct,observed_max_pct,mean_rss_load_mib,mean_rss_prepare_mib,mean_rss_render_mib,mean_rss_mib,mean_peak_rss_mib
CORPUS-0001,44100,15,256,5805.0,17.8,34.0,39.3,0.31,0.58,0.68,4.97,0.75,0.34,13.93,13.93
CORPUS-0001,48000,15,256,5333.3,17.7,34.1,47.2,0.33,0.64,0.88,4.98,0.74,0.37,13.94,13.94
CORPUS-0001,96000,15,256,2666.7,17.8,34.7,42.1,0.67,1.30,1.58,4.97,0.75,0.73,15.08,15.08
CORPUS-0001,192000,15,256,1333.3,17.5,34.1,56.1,1.31,2.56,4.21,4.93,0.76,1.47,17.40,17.40
CORPUS-0002,44100,15,256,5805.0,61.0,66.7,78.0,1.05,1.15,1.34,0.27,1.51,1.35,14.63,15.48
CORPUS-0002,48000,15,256,5333.3,60.8,66.9,84.5,1.14,1.25,1.59,0.27,1.38,1.46,15.74,15.74
CORPUS-0002,96000,15,256,2666.7,60.7,68.4,115.5,2.28,2.56,4.33,0.27,1.01,2.93,16.78,17.93
CORPUS-0002,192000,15,256,1333.3,60.4,68.2,112.4,4.53,5.12,8.43,0.27,0.00,1.58,21.02,21.95
CORPUS-0003,44100,15,256,5805.0,19.6,38.4,56.5,0.34,0.66,0.97,0.61,0.17,0.00,18.45,18.45
CORPUS-0003,48000,15,256,5333.3,19.6,38.2,62.0,0.37,0.72,1.16,0.64,0.14,0.00,19.56,19.56
CORPUS-0003,96000,15,256,2666.7,19.5,38.1,45.1,0.73,1.43,1.69,0.57,0.20,0.01,19.62,19.62
CORPUS-0003,192000,15,256,1333.3,19.5,39.1,57.7,1.46,2.93,4.33,0.56,0.00,0.00,23.63,23.63
CORPUS-0004,44100,15,256,5805.0,42.5,61.2,80.1,0.73,1.05,1.38,0.44,0.00,5.33,23.24,23.24
CORPUS-0004,48000,15,256,5333.3,42.3,61.2,94.8,0.79,1.15,1.78,0.44,0.00,5.36,24.38,24.38
CORPUS-0004,96000,15,256,2666.7,41.3,62.0,94.8,1.55,2.33,3.55,0.43,0.00,6.95,24.89,24.89
CORPUS-0004,192000,15,256,1333.3,41.3,60.5,91.8,3.10,4.54,6.88,0.45,0.00,0.00,29.85,29.85
CORPUS-0005,44100,15,256,5805.0,11.4,42.1,58.7,0.20,0.73,1.01,0.70,0.01,0.00,20.02,23.07
CORPUS-0005,48000,15,256,5333.3,11.4,42.0,56.8,0.21,0.79,1.06,0.69,0.00,0.00,21.18,24.19
CORPUS-0005,96000,15,256,2666.7,11.4,41.7,60.6,0.43,1.56,2.27,0.66,0.11,0.00,23.42,24.69
CORPUS-0005,192000,15,256,1333.3,11.4,41.6,65.9,0.86,3.12,4.94,0.66,0.00,0.00,30.52,30.75
CORPUS-0006,44100,15,256,5805.0,3.3,14.0,22.1,0.06,0.24,0.38,0.00,0.00,0.00,20.09,23.07
CORPUS-0006,48000,15,256,5333.3,3.3,14.0,20.5,0.06,0.26,0.38,0.06,0.00,0.00,21.25,24.19
CORPUS-0006,96000,15,256,2666.7,3.1,13.2,22.1,0.12,0.50,0.83,0.03,0.00,0.00,23.45,24.69
CORPUS-0006,192000,15,256,1333.3,3.0,13.0,30.6,0.23,0.98,2.29,0.06,0.00,0.00,30.58,30.87
CORPUS-0007,44100,15,256,5805.0,3.2,16.4,28.2,0.06,0.28,0.49,0.03,0.00,0.00,20.12,23.07
CORPUS-0007,48000,15,256,5333.3,3.2,16.8,25.7,0.06,0.31,0.48,0.03,0.00,0.00,21.27,24.19
CORPUS-0007,96000,15,256,2666.7,3.1,15.3,30.6,0.12,0.57,1.15,0.04,0.00,0.00,23.49,24.69
CORPUS-0007,192000,15,256,1333.3,3.1,15.4,30.2,0.23,1.16,2.26,0.07,0.00,0.00,30.66,30.98
CORPUS-0008,44100,15,256,5805.0,3.3,18.4,32.1,0.06,0.32,0.55,0.15,0.00,0.00,20.41,23.07
CORPUS-0008,48000,15,256,5333.3,3.3,18.7,31.9,0.06,0.35,0.60,0.00,0.00,0.00,21.27,24.19
CORPUS-0008,96000,15,256,2666.7,3.1,17.8,34.7,0.12,0.67,1.30,0.00,0.00,0.00,23.49,24.69
CORPUS-0008,192000,15,256,1333.3,3.1,17.4,33.2,0.23,1.31,2.49,0.00,0.00,0.00,30.66,30.98
CORPUS-0009,44100,15,256,5805.0,3.2,19.0,49.8,0.06,0.33,0.86,0.00,0.00,0.00,20.41,23.07
CORPUS-0009,48000,15,256,5333.3,3.2,18.7,37.2,0.06,0.35,0.70,0.00,0.00,0.02,21.36,24.19
CORPUS-0009,96000,15,256,2666.7,3.1,18.4,38.9,0.11,0.69,1.46,0.00,0.00,0.00,23.56,24.69
CORPUS-0009,192000,15,256,1333.3,3.0,18.2,27.7,0.22,1.36,2.08,0.00,0.00,0.00,30.66,31.02
CORPUS-0010,44100,15,256,5805.0,3.3,34.8,51.3,0.06,0.60,0.88,0.00,0.00,0.00,20.41,23.07
CORPUS-0010,48000,15,256,5333.3,3.3,35.7,49.5,0.06,0.67,0.93,0.15,0.00,0.00,21.60,24.19
CORPUS-0010,96000,15,256,2666.7,3.1,34.2,48.6,0.12,1.28,1.82,0.00,0.00,0.00,23.64,24.69
CORPUS-0010,192000,15,256,1333.3,3.0,33.9,61.2,0.23,2.54,4.59,0.00,0.00,0.00,30.66,31.02
