run,arm,nanoseconds_per_iteration
1,planar,159.255
1,planar_ctl,159.130
1,strided,161.088
1,transpose,9.711
1,boundary_memcpy,3.856
1,chain5,420.725
1,gain_planar,4.603
1,gain_planar_ctl,5.022
1,gain_strided,25.523
1,chain_min,263.266
1,stereo_planar,345.383
1,stereo_planar_ctl,349.313
1,stereo_inter,328.708
2,planar,179.388
2,planar_ctl,181.998
2,strided,182.784
2,transpose,10.347
2,boundary_memcpy,4.352
2,chain5,445.634
2,gain_planar,11.498
2,gain_planar_ctl,11.521
2,gain_strided,25.935
2,chain_min,286.072
2,stereo_planar,370.814
2,stereo_planar_ctl,357.551
2,stereo_inter,342.858
3,planar,159.206
3,planar_ctl,165.409
3,strided,166.386
3,transpose,9.618
3,boundary_memcpy,3.712
3,chain5,402.940
3,gain_planar,11.704
3,gain_planar_ctl,11.758
3,gain_strided,27.125
3,chain_min,263.685
3,stereo_planar,357.248
3,stereo_planar_ctl,366.038
3,stereo_inter,324.015
4,planar,161.446
4,planar_ctl,171.021
4,strided,162.279
4,transpose,12.530
4,boundary_memcpy,3.996
4,chain5,404.382
4,gain_planar,6.486
4,gain_planar_ctl,7.112
4,gain_strided,25.841
4,chain_min,264.374
4,stereo_planar,351.965
4,stereo_planar_ctl,351.383
4,stereo_inter,309.187
5,planar,172.547
5,planar_ctl,173.507
5,strided,175.675
5,transpose,9.666
5,boundary_memcpy,3.844
5,chain5,428.754
5,gain_planar,5.021
5,gain_planar_ctl,5.142
5,gain_strided,27.869
5,chain_min,282.863
5,stereo_planar,350.007
5,stereo_planar_ctl,353.389
5,stereo_inter,330.348
6,planar,171.314
6,planar_ctl,171.773
6,strided,160.726
6,transpose,9.077
6,boundary_memcpy,3.601
6,chain5,404.201
6,gain_planar,11.364
6,gain_planar_ctl,11.908
6,gain_strided,25.982
6,chain_min,278.002
6,stereo_planar,379.091
6,stereo_planar_ctl,369.993
6,stereo_inter,339.232
7,planar,167.038
7,planar_ctl,159.600
7,strided,168.400
7,transpose,10.000
7,boundary_memcpy,4.352
7,chain5,434.431
7,gain_planar,6.951
7,gain_planar_ctl,7.077
7,gain_strided,27.548
7,chain_min,261.633
7,stereo_planar,372.152
7,stereo_planar_ctl,365.739
7,stereo_inter,318.190
8,planar,159.118
8,planar_ctl,159.459
8,strided,160.583
8,transpose,9.087
8,boundary_memcpy,3.610
8,chain5,409.117
8,gain_planar,4.631
8,gain_planar_ctl,5.090
8,gain_strided,25.487
8,chain_min,278.614
8,stereo_planar,351.192
8,stereo_planar_ctl,352.472
8,stereo_inter,333.259
9,planar,177.610
9,planar_ctl,166.632
9,strided,167.888
9,transpose,9.130
9,boundary_memcpy,3.579
9,chain5,440.785
9,gain_planar,4.602
9,gain_planar_ctl,5.124
9,gain_strided,25.561
9,chain_min,289.931
9,stereo_planar,384.196
9,stereo_planar_ctl,361.032
9,stereo_inter,317.609
