run,arm,nanoseconds_per_quantum
1,direct_ctl,806.240
1,direct,810.883
1,enum_ctl,830.106
1,enum,850.080
1,hybrid_ctl,857.842
1,hybrid,818.829
1,table_ctl,854.409
1,table,872.534
1,walk_only,0.792
1,bind_only,30.366
1,fused,542.224
1,renderer,872.153
2,direct_ctl,862.334
2,direct,852.384
2,enum_ctl,891.361
2,enum,905.426
2,hybrid_ctl,916.910
2,hybrid,884.620
2,table_ctl,868.215
2,table,897.792
2,walk_only,0.815
2,bind_only,34.707
2,fused,572.363
2,renderer,933.416
3,direct_ctl,855.258
3,direct,858.273
3,enum_ctl,902.488
3,enum,836.614
3,hybrid_ctl,900.902
3,hybrid,914.621
3,table_ctl,926.810
3,table,907.526
3,walk_only,0.837
3,bind_only,32.084
3,fused,566.706
3,renderer,883.699
4,direct_ctl,856.598
4,direct,837.286
4,enum_ctl,907.266
4,enum,860.540
4,hybrid_ctl,926.756
4,hybrid,899.447
4,table_ctl,902.556
4,table,903.667
4,walk_only,0.793
4,bind_only,31.048
4,fused,541.916
4,renderer,933.279
5,direct_ctl,814.898
5,direct,807.597
5,enum_ctl,859.208
5,enum,847.887
5,hybrid_ctl,868.172
5,hybrid,861.921
5,table_ctl,872.957
5,table,876.168
5,walk_only,0.737
5,bind_only,30.888
5,fused,539.852
5,renderer,890.613
6,direct_ctl,820.760
6,direct,853.404
6,enum_ctl,903.294
6,enum,885.883
6,hybrid_ctl,923.487
6,hybrid,923.058
6,table_ctl,905.654
6,table,911.188
6,walk_only,0.756
6,bind_only,28.973
6,fused,565.392
6,renderer,872.250
7,direct_ctl,805.104
7,direct,836.676
7,enum_ctl,903.027
7,enum,901.462
7,hybrid_ctl,904.522
7,hybrid,855.392
7,table_ctl,925.864
7,table,885.940
7,walk_only,0.773
7,bind_only,30.063
7,fused,566.861
7,renderer,909.614
8,direct_ctl,808.695
8,direct,806.774
8,enum_ctl,852.915
8,enum,807.167
8,hybrid_ctl,865.277
8,hybrid,858.022
8,table_ctl,845.865
8,table,858.078
8,walk_only,0.778
8,bind_only,29.632
8,fused,532.291
8,renderer,866.652
9,direct_ctl,807.565
9,direct,762.433
9,enum_ctl,853.483
9,enum,853.961
9,hybrid_ctl,849.335
9,hybrid,858.191
9,table_ctl,861.187
9,table,864.316
9,walk_only,0.775
9,bind_only,29.612
9,fused,536.484
9,renderer,885.917
