run,arm,nanoseconds_per_quantum
1,direct_ctl,804.352
1,direct,808.557
1,enum_ctl,845.858
1,enum,854.469
1,hybrid_ctl,858.108
1,hybrid,874.293
1,table_ctl,852.964
1,table,817.172
1,walk_only,0.736
1,bind_only,28.524
1,fused,538.890
1,renderer,868.585
2,direct_ctl,800.283
2,direct,755.946
2,enum_ctl,846.996
2,enum,819.125
2,hybrid_ctl,866.424
2,hybrid,840.544
2,table_ctl,856.467
2,table,825.548
2,walk_only,0.755
2,bind_only,29.326
2,fused,531.718
2,renderer,869.062
3,direct_ctl,810.223
3,direct,855.160
3,enum_ctl,863.302
3,enum,918.564
3,hybrid_ctl,940.677
3,hybrid,939.614
3,table_ctl,936.371
3,table,909.410
3,walk_only,0.753
3,bind_only,28.887
3,fused,574.727
3,renderer,934.836
4,direct_ctl,794.417
4,direct,807.046
4,enum_ctl,837.080
4,enum,843.019
4,hybrid_ctl,858.927
4,hybrid,860.761
4,table_ctl,850.569
4,table,853.870
4,walk_only,0.754
4,bind_only,29.350
4,fused,536.890
4,renderer,873.886
5,direct_ctl,784.808
5,direct,806.314
5,enum_ctl,868.307
5,enum,830.139
5,hybrid_ctl,854.620
5,hybrid,867.716
5,table_ctl,897.108
5,table,925.762
5,walk_only,0.838
5,bind_only,35.134
5,fused,551.515
5,renderer,877.686
6,direct_ctl,808.457
6,direct,811.720
6,enum_ctl,900.202
6,enum,895.483
6,hybrid_ctl,889.454
6,hybrid,906.415
6,table_ctl,867.308
6,table,827.967
6,walk_only,0.774
6,bind_only,29.654
6,fused,542.923
6,renderer,890.216
7,direct_ctl,799.816
7,direct,804.440
7,enum_ctl,838.134
7,enum,841.994
7,hybrid_ctl,820.879
7,hybrid,816.046
7,table_ctl,848.633
7,table,833.170
7,walk_only,0.772
7,bind_only,29.863
7,fused,531.609
7,renderer,878.175
8,direct_ctl,837.242
8,direct,856.272
8,enum_ctl,879.590
8,enum,902.773
8,hybrid_ctl,873.996
8,hybrid,889.356
8,table_ctl,909.208
8,table,921.029
8,walk_only,0.814
8,bind_only,34.173
8,fused,554.903
8,renderer,940.834
9,direct_ctl,791.869
9,direct,802.667
9,enum_ctl,837.571
9,enum,837.855
9,hybrid_ctl,820.434
9,hybrid,841.841
9,table_ctl,845.524
9,table,844.850
9,walk_only,0.754
9,bind_only,28.344
9,fused,531.737
9,renderer,862.750
