set,run,metric,value
canonical,1,direct_control_spread_percent,1.12
canonical,1,direct_control_worst_percent,27.36
canonical,1,enum_control_spread_percent,0.82
canonical,1,enum_control_worst_percent,10.25
canonical,1,hybrid_control_spread_percent,0.55
canonical,1,hybrid_control_worst_percent,4.97
canonical,1,table_control_spread_percent,1.30
canonical,1,table_control_worst_percent,48.10
canonical,1,table_vs_direct_percent,6.58
canonical,1,table_vs_direct_paired_percent,7.31
canonical,1,hybrid_vs_direct_paired_percent,6.49
canonical,1,enum_vs_direct_paired_percent,4.69
canonical,1,table_vs_enum_paired_percent,2.02
canonical,1,table_vs_hybrid_paired_percent,0.06
canonical,1,hybrid_vs_direct_percent,6.76
canonical,1,enum_vs_direct_percent,4.60
canonical,1,table_vs_enum_percent,1.89
canonical,1,binding_paired_nanoseconds,32.07
canonical,1,walk_share_of_direct_percent,0.09
canonical,1,direct_vs_fused_percent,51.73
canonical,2,direct_control_spread_percent,0.92
canonical,2,direct_control_worst_percent,8.15
canonical,2,enum_control_spread_percent,0.93
canonical,2,enum_control_worst_percent,2.43
canonical,2,hybrid_control_spread_percent,0.87
canonical,2,hybrid_control_worst_percent,19.81
canonical,2,table_control_spread_percent,0.81
canonical,2,table_control_worst_percent,19.63
canonical,2,table_vs_direct_percent,12.92
canonical,2,table_vs_direct_paired_percent,7.52
canonical,2,hybrid_vs_direct_paired_percent,7.08
canonical,2,enum_vs_direct_paired_percent,5.63
canonical,2,table_vs_enum_paired_percent,2.12
canonical,2,table_vs_hybrid_paired_percent,0.01
canonical,2,hybrid_vs_direct_percent,3.86
canonical,2,enum_vs_direct_percent,7.02
canonical,2,table_vs_enum_percent,5.52
canonical,2,binding_paired_nanoseconds,36.30
canonical,2,walk_share_of_direct_percent,0.10
canonical,2,direct_vs_fused_percent,44.19
canonical,3,direct_control_spread_percent,0.83
canonical,3,direct_control_worst_percent,5.00
canonical,3,enum_control_spread_percent,1.01
canonical,3,enum_control_worst_percent,6.76
canonical,3,hybrid_control_spread_percent,1.58
canonical,3,hybrid_control_worst_percent,11.25
canonical,3,table_control_spread_percent,0.78
canonical,3,table_control_worst_percent,5.44
canonical,3,table_vs_direct_percent,5.76
canonical,3,table_vs_direct_paired_percent,7.10
canonical,3,hybrid_vs_direct_paired_percent,6.52
canonical,3,enum_vs_direct_paired_percent,5.00
canonical,3,table_vs_enum_paired_percent,2.38
canonical,3,table_vs_hybrid_paired_percent,0.26
canonical,3,hybrid_vs_direct_percent,2.70
canonical,3,enum_vs_direct_percent,7.79
canonical,3,table_vs_enum_percent,-1.89
canonical,3,binding_paired_nanoseconds,33.09
canonical,3,walk_share_of_direct_percent,0.08
canonical,3,direct_vs_fused_percent,47.19
canonical,4,direct_control_spread_percent,0.98
canonical,4,direct_control_worst_percent,2.06
canonical,4,enum_control_spread_percent,0.74
canonical,4,enum_control_worst_percent,4.31
canonical,4,hybrid_control_spread_percent,0.55
canonical,4,hybrid_control_worst_percent,12.44
canonical,4,table_control_spread_percent,0.70
canonical,4,table_control_worst_percent,2.77
canonical,4,table_vs_direct_percent,6.87
canonical,4,table_vs_direct_paired_percent,7.07
canonical,4,hybrid_vs_direct_paired_percent,6.97
canonical,4,enum_vs_direct_paired_percent,4.62
canonical,4,table_vs_enum_paired_percent,2.28
canonical,4,table_vs_hybrid_paired_percent,-0.18
canonical,4,hybrid_vs_direct_percent,-2.18
canonical,4,enum_vs_direct_percent,0.43
canonical,4,table_vs_enum_percent,6.41
canonical,4,binding_paired_nanoseconds,32.84
canonical,4,walk_share_of_direct_percent,0.10
canonical,4,direct_vs_fused_percent,50.14
canonical,5,direct_control_spread_percent,0.76
canonical,5,direct_control_worst_percent,10.43
canonical,5,enum_control_spread_percent,0.62
canonical,5,enum_control_worst_percent,17.54
canonical,5,hybrid_control_spread_percent,0.46
canonical,5,hybrid_control_worst_percent,36.69
canonical,5,table_control_spread_percent,0.79
canonical,5,table_control_worst_percent,40.77
canonical,5,table_vs_direct_percent,13.33
canonical,5,table_vs_direct_paired_percent,7.31
canonical,5,hybrid_vs_direct_paired_percent,7.76
canonical,5,enum_vs_direct_paired_percent,5.39
canonical,5,table_vs_enum_paired_percent,2.54
canonical,5,table_vs_hybrid_paired_percent,0.04
canonical,5,hybrid_vs_direct_percent,8.70
canonical,5,enum_vs_direct_percent,5.79
canonical,5,table_vs_enum_percent,7.13
canonical,5,binding_paired_nanoseconds,33.10
canonical,5,walk_share_of_direct_percent,0.10
canonical,5,direct_vs_fused_percent,44.69
canonical,6,direct_control_spread_percent,1.29
canonical,6,direct_control_worst_percent,9.23
canonical,6,enum_control_spread_percent,0.73
canonical,6,enum_control_worst_percent,10.91
canonical,6,hybrid_control_spread_percent,0.59
canonical,6,hybrid_control_worst_percent,2.45
canonical,6,table_control_spread_percent,0.86
canonical,6,table_control_worst_percent,15.83
canonical,6,table_vs_direct_percent,6.56
canonical,6,table_vs_direct_paired_percent,7.96
canonical,6,hybrid_vs_direct_paired_percent,7.93
canonical,6,enum_vs_direct_paired_percent,5.88
canonical,6,table_vs_enum_paired_percent,1.58
canonical,6,table_vs_hybrid_paired_percent,-0.20
canonical,6,hybrid_vs_direct_percent,7.96
canonical,6,enum_vs_direct_percent,5.30
canonical,6,table_vs_enum_percent,1.20
canonical,6,binding_paired_nanoseconds,32.18
canonical,6,walk_share_of_direct_percent,0.10
canonical,6,direct_vs_fused_percent,47.39
canonical,7,direct_control_spread_percent,0.90
canonical,7,direct_control_worst_percent,29.84
canonical,7,enum_control_spread_percent,0.75
canonical,7,enum_control_worst_percent,9.13
canonical,7,hybrid_control_spread_percent,0.73
canonical,7,hybrid_control_worst_percent,3.22
canonical,7,table_control_spread_percent,0.91
canonical,7,table_control_worst_percent,7.89
canonical,7,table_vs_direct_percent,7.89
canonical,7,table_vs_direct_paired_percent,6.70
canonical,7,hybrid_vs_direct_paired_percent,7.59
canonical,7,enum_vs_direct_paired_percent,5.75
canonical,7,table_vs_enum_paired_percent,1.52
canonical,7,table_vs_hybrid_paired_percent,-0.64
canonical,7,hybrid_vs_direct_percent,7.50
canonical,7,enum_vs_direct_percent,5.12
canonical,7,table_vs_enum_percent,2.63
canonical,7,binding_paired_nanoseconds,31.40
canonical,7,walk_share_of_direct_percent,0.10
canonical,7,direct_vs_fused_percent,41.94
canonical,8,direct_control_spread_percent,1.15
canonical,8,direct_control_worst_percent,2.85
canonical,8,enum_control_spread_percent,1.25
canonical,8,enum_control_worst_percent,39.36
canonical,8,hybrid_control_spread_percent,0.81
canonical,8,hybrid_control_worst_percent,4.18
canonical,8,table_control_spread_percent,1.03
canonical,8,table_control_worst_percent,7.58
canonical,8,table_vs_direct_percent,4.54
canonical,8,table_vs_direct_paired_percent,7.33
canonical,8,hybrid_vs_direct_paired_percent,7.19
canonical,8,enum_vs_direct_paired_percent,5.16
canonical,8,table_vs_enum_paired_percent,2.12
canonical,8,table_vs_hybrid_paired_percent,-0.50
canonical,8,hybrid_vs_direct_percent,7.77
canonical,8,enum_vs_direct_percent,4.95
canonical,8,table_vs_enum_percent,-0.39
canonical,8,binding_paired_nanoseconds,31.65
canonical,8,walk_share_of_direct_percent,0.10
canonical,8,direct_vs_fused_percent,47.96
canonical,9,direct_control_spread_percent,0.98
canonical,9,direct_control_worst_percent,4.42
canonical,9,enum_control_spread_percent,0.73
canonical,9,enum_control_worst_percent,2.18
canonical,9,hybrid_control_spread_percent,1.00
canonical,9,hybrid_control_worst_percent,61.48
canonical,9,table_control_spread_percent,0.97
canonical,9,table_control_worst_percent,3.96
canonical,9,table_vs_direct_percent,5.69
canonical,9,table_vs_direct_paired_percent,6.51
canonical,9,hybrid_vs_direct_paired_percent,6.86
canonical,9,enum_vs_direct_paired_percent,5.56
canonical,9,table_vs_enum_paired_percent,1.55
canonical,9,table_vs_hybrid_paired_percent,-0.30
canonical,9,hybrid_vs_direct_percent,1.08
canonical,9,enum_vs_direct_percent,2.80
canonical,9,table_vs_enum_percent,2.81
canonical,9,binding_paired_nanoseconds,31.59
canonical,9,walk_share_of_direct_percent,0.09
canonical,9,direct_vs_fused_percent,50.54
replication,1,direct_control_spread_percent,0.93
replication,1,direct_control_worst_percent,5.75
replication,1,enum_control_spread_percent,1.57
replication,1,enum_control_worst_percent,6.70
replication,1,hybrid_control_spread_percent,0.89
replication,1,hybrid_control_worst_percent,7.63
replication,1,table_control_spread_percent,0.93
replication,1,table_control_worst_percent,9.97
replication,1,table_vs_direct_percent,2.93
replication,1,table_vs_direct_paired_percent,7.55
replication,1,hybrid_vs_direct_paired_percent,7.65
replication,1,enum_vs_direct_paired_percent,5.45
replication,1,table_vs_enum_paired_percent,1.75
replication,1,table_vs_hybrid_paired_percent,-0.15
replication,1,hybrid_vs_direct_percent,4.24
replication,1,enum_vs_direct_percent,5.36
replication,1,table_vs_enum_percent,-2.31
replication,1,binding_paired_nanoseconds,32.43
replication,1,walk_share_of_direct_percent,0.09
replication,1,direct_vs_fused_percent,57.20
replication,2,direct_control_spread_percent,0.82
replication,2,direct_control_worst_percent,22.78
replication,2,enum_control_spread_percent,0.87
replication,2,enum_control_worst_percent,2.67
replication,2,hybrid_control_spread_percent,0.86
replication,2,hybrid_control_worst_percent,3.42
replication,2,table_control_spread_percent,0.69
replication,2,table_control_worst_percent,14.44
replication,2,table_vs_direct_percent,-2.82
replication,2,table_vs_direct_paired_percent,7.84
replication,2,hybrid_vs_direct_paired_percent,7.49
replication,2,enum_vs_direct_paired_percent,4.80
replication,2,table_vs_enum_paired_percent,2.49
replication,2,table_vs_hybrid_paired_percent,-0.04
replication,2,hybrid_vs_direct_percent,7.97
replication,2,enum_vs_direct_percent,6.59
replication,2,table_vs_enum_percent,-8.83
replication,2,binding_paired_nanoseconds,31.55
replication,2,walk_share_of_direct_percent,0.09
replication,2,direct_vs_fused_percent,48.50
replication,3,direct_control_spread_percent,0.88
replication,3,direct_control_worst_percent,8.78
replication,3,enum_control_spread_percent,0.64
replication,3,enum_control_worst_percent,6.71
replication,3,hybrid_control_spread_percent,0.83
replication,3,hybrid_control_worst_percent,3.02
replication,3,table_control_spread_percent,0.48
replication,3,table_control_worst_percent,3.67
replication,3,table_vs_direct_percent,9.19
replication,3,table_vs_direct_paired_percent,7.00
replication,3,hybrid_vs_direct_paired_percent,7.14
replication,3,enum_vs_direct_paired_percent,4.98
replication,3,table_vs_enum_paired_percent,2.22
replication,3,table_vs_hybrid_paired_percent,0.38
replication,3,hybrid_vs_direct_percent,8.58
replication,3,enum_vs_direct_percent,4.52
replication,3,table_vs_enum_percent,4.47
replication,3,binding_paired_nanoseconds,32.17
replication,3,walk_share_of_direct_percent,0.10
replication,3,direct_vs_fused_percent,49.01
replication,4,direct_control_spread_percent,0.68
replication,4,direct_control_worst_percent,9.54
replication,4,enum_control_spread_percent,0.58
replication,4,enum_control_worst_percent,5.95
replication,4,hybrid_control_spread_percent,0.90
replication,4,hybrid_control_worst_percent,4.43
replication,4,table_control_spread_percent,1.04
replication,4,table_control_worst_percent,5.17
replication,4,table_vs_direct_percent,12.49
replication,4,table_vs_direct_paired_percent,6.79
replication,4,hybrid_vs_direct_paired_percent,7.93
replication,4,enum_vs_direct_paired_percent,5.38
replication,4,table_vs_enum_paired_percent,2.03
replication,4,table_vs_hybrid_paired_percent,-0.52
replication,4,hybrid_vs_direct_percent,9.05
replication,4,enum_vs_direct_percent,10.21
replication,4,table_vs_enum_percent,2.06
replication,4,binding_paired_nanoseconds,32.18
replication,4,walk_share_of_direct_percent,0.10
replication,4,direct_vs_fused_percent,41.95
replication,5,direct_control_spread_percent,0.61
replication,5,direct_control_worst_percent,12.48
replication,5,enum_control_spread_percent,0.57
replication,5,enum_control_worst_percent,3.27
replication,5,hybrid_control_spread_percent,0.61
replication,5,hybrid_control_worst_percent,6.63
replication,5,table_control_spread_percent,1.06
replication,5,table_control_worst_percent,9.47
replication,5,table_vs_direct_percent,7.40
replication,5,table_vs_direct_paired_percent,7.26
replication,5,hybrid_vs_direct_paired_percent,7.34
replication,5,enum_vs_direct_paired_percent,4.97
replication,5,table_vs_enum_paired_percent,2.16
replication,5,table_vs_hybrid_paired_percent,-0.22
replication,5,hybrid_vs_direct_percent,6.80
replication,5,enum_vs_direct_percent,2.00
replication,5,table_vs_enum_percent,5.30
replication,5,binding_paired_nanoseconds,33.07
replication,5,walk_share_of_direct_percent,0.10
replication,5,direct_vs_fused_percent,49.68
replication,6,direct_control_spread_percent,0.89
replication,6,direct_control_worst_percent,2.98
replication,6,enum_control_spread_percent,0.73
replication,6,enum_control_worst_percent,3.10
replication,6,hybrid_control_spread_percent,0.91
replication,6,hybrid_control_worst_percent,54.13
replication,6,table_control_spread_percent,0.54
replication,6,table_control_worst_percent,4.28
replication,6,table_vs_direct_percent,10.40
replication,6,table_vs_direct_paired_percent,7.38
replication,6,hybrid_vs_direct_paired_percent,6.93
replication,6,enum_vs_direct_paired_percent,5.70
replication,6,table_vs_enum_paired_percent,1.54
replication,6,table_vs_hybrid_paired_percent,0.04
replication,6,hybrid_vs_direct_percent,9.88
replication,6,enum_vs_direct_percent,8.90
replication,6,table_vs_enum_percent,1.37
replication,6,binding_paired_nanoseconds,32.18
replication,6,walk_share_of_direct_percent,0.10
replication,6,direct_vs_fused_percent,44.49
replication,7,direct_control_spread_percent,0.77
replication,7,direct_control_worst_percent,7.88
replication,7,enum_control_spread_percent,0.88
replication,7,enum_control_worst_percent,6.89
replication,7,hybrid_control_spread_percent,0.70
replication,7,hybrid_control_worst_percent,5.90
replication,7,table_control_spread_percent,0.90
replication,7,table_control_worst_percent,3.17
replication,7,table_vs_direct_percent,4.86
replication,7,table_vs_direct_paired_percent,7.61
replication,7,hybrid_vs_direct_paired_percent,7.27
replication,7,enum_vs_direct_paired_percent,5.50
replication,7,table_vs_enum_paired_percent,1.92
replication,7,table_vs_hybrid_paired_percent,0.26
replication,7,hybrid_vs_direct_percent,5.23
replication,7,enum_vs_direct_percent,3.74
replication,7,table_vs_enum_percent,1.08
replication,7,binding_paired_nanoseconds,32.49
replication,7,walk_share_of_direct_percent,0.10
replication,7,direct_vs_fused_percent,48.65
replication,8,direct_control_spread_percent,1.08
replication,8,direct_control_worst_percent,42.19
replication,8,enum_control_spread_percent,0.84
replication,8,enum_control_worst_percent,25.37
replication,8,hybrid_control_spread_percent,0.37
replication,8,hybrid_control_worst_percent,8.97
replication,8,table_control_spread_percent,1.47
replication,8,table_control_worst_percent,4.85
replication,8,table_vs_direct_percent,5.86
replication,8,table_vs_direct_paired_percent,7.73
replication,8,hybrid_vs_direct_paired_percent,8.27
replication,8,enum_vs_direct_paired_percent,5.10
replication,8,table_vs_enum_paired_percent,2.09
replication,8,table_vs_hybrid_paired_percent,-0.39
replication,8,hybrid_vs_direct_percent,3.53
replication,8,enum_vs_direct_percent,5.90
replication,8,table_vs_enum_percent,-0.04
replication,8,binding_paired_nanoseconds,32.45
replication,8,walk_share_of_direct_percent,0.10
replication,8,direct_vs_fused_percent,47.95
replication,9,direct_control_spread_percent,0.68
replication,9,direct_control_worst_percent,3.57
replication,9,enum_control_spread_percent,0.57
replication,9,enum_control_worst_percent,7.10
replication,9,hybrid_control_spread_percent,0.58
replication,9,hybrid_control_worst_percent,14.01
replication,9,table_control_spread_percent,0.58
replication,9,table_control_worst_percent,8.56
replication,9,table_vs_direct_percent,8.21
replication,9,table_vs_direct_paired_percent,7.47
replication,9,hybrid_vs_direct_paired_percent,7.25
replication,9,enum_vs_direct_paired_percent,4.75
replication,9,table_vs_enum_paired_percent,2.36
replication,9,table_vs_hybrid_paired_percent,0.08
replication,9,hybrid_vs_direct_percent,8.11
replication,9,enum_vs_direct_percent,5.21
replication,9,table_vs_enum_percent,2.86
replication,9,binding_paired_nanoseconds,35.31
replication,9,walk_share_of_direct_percent,0.10
replication,9,direct_vs_fused_percent,48.61
