pair,build,position,render_nanoseconds_per_quantum,control_spread_percent
1,planar,1,686.54,0.09
1,interleaved,2,683.48,0.05
2,interleaved,1,683.74,0.08
2,planar,2,686.69,0.22
3,planar,1,688.16,0.14
3,interleaved,2,686.07,0.15
4,interleaved,1,686.42,0.12
4,planar,2,687.22,0.25
5,planar,1,686.74,0.23
5,interleaved,2,682.69,0.28
6,interleaved,1,683.81,0.34
6,planar,2,689.85,0.45
7,planar,1,686.37,0.18
7,interleaved,2,686.38,0.17
8,interleaved,1,686.71,0.11
8,planar,2,687.53,0.12
9,planar,1,687.45,0.50
9,interleaved,2,688.67,0.14
10,interleaved,1,686.45,0.19
10,planar,2,699.65,0.30
