arm,quantum,shape,digest
32,32,voice-mono,0fe495aee2793cc6f3cbd3f16b84935320b9866183e6d4c68bdcbea7a1cdc748
32,32,voice-stereo,e954b97df4c61c7109d347f02150f53e5f71aeb738ee0aeb2bff80cafd9ef1e2
32,32,gain-chain,acf121773d70debd7da91b39a0c5056a66df4e731f2a1119d52d8bfada4b734f
64,64,voice-mono,0fe495aee2793cc6f3cbd3f16b84935320b9866183e6d4c68bdcbea7a1cdc748
64,64,voice-stereo,e954b97df4c61c7109d347f02150f53e5f71aeb738ee0aeb2bff80cafd9ef1e2
64,64,gain-chain,acf121773d70debd7da91b39a0c5056a66df4e731f2a1119d52d8bfada4b734f
64b,64,voice-mono,0fe495aee2793cc6f3cbd3f16b84935320b9866183e6d4c68bdcbea7a1cdc748
64b,64,voice-stereo,e954b97df4c61c7109d347f02150f53e5f71aeb738ee0aeb2bff80cafd9ef1e2
64b,64,gain-chain,acf121773d70debd7da91b39a0c5056a66df4e731f2a1119d52d8bfada4b734f
128,128,voice-mono,0fe495aee2793cc6f3cbd3f16b84935320b9866183e6d4c68bdcbea7a1cdc748
128,128,voice-stereo,e954b97df4c61c7109d347f02150f53e5f71aeb738ee0aeb2bff80cafd9ef1e2
128,128,gain-chain,acf121773d70debd7da91b39a0c5056a66df4e731f2a1119d52d8bfada4b734f
256,256,voice-mono,0fe495aee2793cc6f3cbd3f16b84935320b9866183e6d4c68bdcbea7a1cdc748
256,256,voice-stereo,e954b97df4c61c7109d347f02150f53e5f71aeb738ee0aeb2bff80cafd9ef1e2
256,256,gain-chain,acf121773d70debd7da91b39a0c5056a66df4e731f2a1119d52d8bfada4b734f
