sweep,position,arm,shape,variant,cost_ms_per_s,control_ms_per_s,in_process_spread_percent
0,0,32,voice-mono,as-built,0.541525,0.542517,0.302
0,0,32,voice-mono,clause-5,0.550549,0.551555,0.358
0,0,32,voice-stereo,as-built,0.624067,0.626033,0.701
0,0,32,voice-stereo,clause-5,0.624610,0.630623,0.630
0,0,32,gain-chain,as-built,0.797016,0.803636,0.366
0,0,32,gain-chain,clause-5,0.793996,0.797922,0.592
0,1,64,voice-mono,as-built,0.514849,0.512499,0.476
0,1,64,voice-mono,clause-5,0.518605,0.518255,0.419
0,1,64,voice-stereo,as-built,0.570286,0.572132,0.652
0,1,64,voice-stereo,clause-5,0.574214,0.571813,0.271
0,1,64,gain-chain,as-built,0.569132,0.561194,0.368
0,1,64,gain-chain,clause-5,0.571933,0.572068,0.287
0,2,64b,voice-mono,as-built,0.517431,0.515814,0.545
0,2,64b,voice-mono,clause-5,0.521277,0.521213,0.358
0,2,64b,voice-stereo,as-built,0.572340,0.572582,0.445
0,2,64b,voice-stereo,clause-5,0.579166,0.578821,0.545
0,2,64b,gain-chain,as-built,0.563542,0.560388,0.734
0,2,64b,gain-chain,clause-5,0.564366,0.562166,0.752
0,3,128,voice-mono,as-built,0.497243,0.493630,0.573
0,3,128,voice-mono,clause-5,0.499218,0.501334,0.521
0,3,128,voice-stereo,as-built,0.546322,0.543508,0.593
0,3,128,voice-stereo,clause-5,0.551119,0.550711,0.570
0,3,128,gain-chain,as-built,0.460478,0.456041,0.689
0,3,128,gain-chain,clause-5,0.464672,0.461818,0.618
0,4,256,voice-mono,as-built,0.490585,0.485709,0.123
0,4,256,voice-mono,clause-5,0.487007,0.486193,0.159
0,4,256,voice-stereo,as-built,0.533125,0.534724,0.458
0,4,256,voice-stereo,clause-5,0.540313,0.539492,0.171
0,4,256,gain-chain,as-built,0.423930,0.431402,0.874
0,4,256,gain-chain,clause-5,0.432107,0.431906,0.509
1,0,64,voice-mono,as-built,0.569800,0.569963,0.049
1,0,64,voice-mono,clause-5,0.513843,0.512320,0.573
1,0,64,voice-stereo,as-built,0.575229,0.576122,0.555
1,0,64,voice-stereo,clause-5,0.632797,0.632844,0.078
