sweep,position,arm,shape,variant,cost_ms_per_s,control_ms_per_s,in_process_spread_percent
0,0,32,voice-mono,as-built,0.538543,0.540336,0.384
0,0,32,voice-mono,clause-5,0.539569,0.544167,1.541
0,0,32,voice-stereo,as-built,0.609382,0.609774,0.132
0,0,32,voice-stereo,clause-5,0.612820,0.611666,0.094
0,0,32,gain-chain,as-built,0.759130,0.751082,1.647
0,0,32,gain-chain,clause-5,0.760095,0.752946,1.189
0,1,64,voice-mono,as-built,0.512210,0.511753,0.089
0,1,64,voice-mono,clause-5,0.512764,0.513019,0.188
0,1,64,voice-stereo,as-built,0.563685,0.562902,0.194
0,1,64,voice-stereo,clause-5,0.567719,0.567242,0.110
0,1,64,gain-chain,as-built,0.526407,0.520195,0.127
0,1,64,gain-chain,clause-5,0.538547,0.536334,0.649
0,2,64b,voice-mono,as-built,0.514103,0.513816,0.133
0,2,64b,voice-mono,clause-5,0.512805,0.512877,0.014
0,2,64b,voice-stereo,as-built,0.563597,0.563778,0.080
0,2,64b,voice-stereo,clause-5,0.567830,0.566603,0.053
0,2,64b,gain-chain,as-built,0.527903,0.520843,1.355
0,2,64b,gain-chain,clause-5,0.541543,0.537514,0.750
0,3,128,voice-mono,as-built,0.497133,0.497249,0.173
0,3,128,voice-mono,clause-5,0.498075,0.499007,0.173
0,3,128,voice-stereo,as-built,0.541366,0.541625,0.048
0,3,128,voice-stereo,clause-5,0.545750,0.546091,0.179
0,3,128,gain-chain,as-built,0.428988,0.429222,0.741
0,3,128,gain-chain,clause-5,0.443794,0.439672,0.785
0,4,256,voice-mono,as-built,0.483497,0.483664,0.214
0,4,256,voice-mono,clause-5,0.485675,0.485783,0.153
0,4,256,voice-stereo,as-built,0.526228,0.525372,0.105
0,4,256,voice-stereo,clause-5,0.530879,0.530966,0.050
0,4,256,gain-chain,as-built,0.389248,0.390529,3.182
0,4,256,gain-chain,clause-5,0.402270,0.406417,1.750
1,0,64,voice-mono,as-built,0.510886,0.511767,0.180
1,0,64,voice-mono,clause-5,0.512219,0.511939,0.072
1,0,64,voice-stereo,as-built,0.562820,0.562632,0.212
1,0,64,voice-stereo,clause-5,0.567038,0.567293,0.087
1,0,64,gain-chain,as-built,0.534026,0.518949,0.413
1,0,64,gain-chain,clause-5,0.537507,0.540758,1.330
1,1,64b,voice-mono,as-built,0.511756,0.511738,0.016
1,1,64b,voice-mono,clause-5,0.512973,0.512639,0.065
1,1,64b,voice-stereo,as-built,0.563321,0.562753,0.088
1,1,64b,voice-stereo,clause-5,0.568033,0.567892,0.226
1,1,64b,gain-chain,as-built,0.537408,0.516684,1.786
1,1,64b,gain-chain,clause-5,0.537330,0.536990,0.473
1,2,128,voice-mono,as-built,0.493409,0.493222,0.192
1,2,128,voice-mono,clause-5,0.497226,0.496281,0.603
1,2,128,voice-stereo,as-built,0.565342,0.563342,0.319
1,2,128,voice-stereo,clause-5,0.553111,0.566773,1.730
1,2,128,gain-chain,as-built,0.437670,0.446865,3.881
1,2,128,gain-chain,clause-5,0.448196,0.440837,1.685
1,3,256,voice-mono,as-built,0.483971,0.484240,0.092
1,3,256,voice-mono,clause-5,0.485681,0.485028,0.088
1,3,256,voice-stereo,as-built,0.525662,0.526005,0.079
1,3,256,voice-stereo,clause-5,0.530502,0.530436,0.228
1,3,256,gain-chain,as-built,0.401375,0.391206,2.327
1,3,256,gain-chain,clause-5,0.398904,0.396390,0.634
1,4,32,voice-mono,as-built,0.539153,0.538445,0.241
1,4,32,voice-mono,clause-5,0.539908,0.539780,0.056
1,4,32,voice-stereo,as-built,0.610408,0.610381,0.259
1,4,32,voice-stereo,clause-5,0.612151,0.614283,0.200
1,4,32,gain-chain,as-built,0.754021,0.736066,0.310
1,4,32,gain-chain,clause-5,0.759423,0.757362,0.224
2,0,64b,voice-mono,as-built,0.511352,0.511539,0.204
2,0,64b,voice-mono,clause-5,0.514027,0.514070,0.033
2,0,64b,voice-stereo,as-built,0.563972,0.563579,0.114
2,0,64b,voice-stereo,clause-5,0.568053,0.568715,0.031
2,0,64b,gain-chain,as-built,0.539044,0.521696,0.253
2,0,64b,gain-chain,clause-5,0.540711,0.538962,0.347
2,1,128,voice-mono,as-built,0.494120,0.493398,0.146
2,1,128,voice-mono,clause-5,0.495415,0.495453,0.100
2,1,128,voice-stereo,as-built,0.537989,0.538896,0.169
2,1,128,voice-stereo,clause-5,0.542725,0.542484,0.081
2,1,128,gain-chain,as-built,0.440331,0.423987,1.102
2,1,128,gain-chain,clause-5,0.435587,0.437092,0.840
2,2,256,voice-mono,as-built,0.483532,0.483259,0.108
2,2,256,voice-mono,clause-5,0.486001,0.485779,0.061
2,2,256,voice-stereo,as-built,0.524681,0.525696,0.064
2,2,256,voice-stereo,clause-5,0.530959,0.531135,0.065
2,2,256,gain-chain,as-built,0.389197,0.390102,0.339
2,2,256,gain-chain,clause-5,0.400069,0.403758,2.026
2,3,32,voice-mono,as-built,0.537639,0.537791,0.016
2,3,32,voice-mono,clause-5,0.538646,0.539105,0.095
2,3,32,voice-stereo,as-built,0.609670,0.608729,0.155
2,3,32,voice-stereo,clause-5,0.613510,0.612949,0.175
2,3,32,gain-chain,as-built,0.764471,0.754343,0.412
2,3,32,gain-chain,clause-5,0.760317,0.761959,0.590
2,4,64,voice-mono,as-built,0.510930,0.510943,0.251
2,4,64,voice-mono,clause-5,0.512112,0.512195,0.097
2,4,64,voice-stereo,as-built,0.562877,0.562462,0.074
2,4,64,voice-stereo,clause-5,0.568094,0.567568,0.111
2,4,64,gain-chain,as-built,0.535409,0.520400,0.756
2,4,64,gain-chain,clause-5,0.538437,0.536068,0.506
3,0,128,voice-mono,as-built,0.493351,0.492589,0.196
3,0,128,voice-mono,clause-5,0.493678,0.494495,0.077
3,0,128,voice-stereo,as-built,0.537684,0.537839,0.213
3,0,128,voice-stereo,clause-5,0.541968,0.541958,0.077
3,0,128,gain-chain,as-built,0.435334,0.423424,0.819
3,0,128,gain-chain,clause-5,0.440818,0.439885,0.037
3,1,256,voice-mono,as-built,0.483566,0.483487,0.147
3,1,256,voice-mono,clause-5,0.485723,0.486102,0.061
3,1,256,voice-stereo,as-built,0.525951,0.525749,0.013
3,1,256,voice-stereo,clause-5,0.530166,0.530291,0.111
3,1,256,gain-chain,as-built,0.398049,0.390639,1.131
3,1,256,gain-chain,clause-5,0.404618,0.404038,1.742
3,2,32,voice-mono,as-built,0.538539,0.538383,0.151
3,2,32,voice-mono,clause-5,0.539753,0.540219,0.073
3,2,32,voice-stereo,as-built,0.609648,0.608889,0.208
3,2,32,voice-stereo,clause-5,0.613303,0.613138,0.027
3,2,32,gain-chain,as-built,0.761134,0.745256,0.174
3,2,32,gain-chain,clause-5,0.768159,0.765910,0.294
3,3,64,voice-mono,as-built,0.510448,0.510450,0.147
3,3,64,voice-mono,clause-5,0.512334,0.512413,0.026
3,3,64,voice-stereo,as-built,0.562580,0.562630,0.077
3,3,64,voice-stereo,clause-5,0.567099,0.566444,0.058
3,3,64,gain-chain,as-built,0.536831,0.526315,0.733
3,3,64,gain-chain,clause-5,0.537438,0.538678,0.150
3,4,64b,voice-mono,as-built,0.511428,0.511656,0.069
3,4,64b,voice-mono,clause-5,0.512600,0.512989,0.035
3,4,64b,voice-stereo,as-built,0.562517,0.562471,0.008
3,4,64b,voice-stereo,clause-5,0.566905,0.567155,0.065
3,4,64b,gain-chain,as-built,0.536803,0.525595,0.314
3,4,64b,gain-chain,clause-5,0.537833,0.543075,0.424
4,0,256,voice-mono,as-built,0.483157,0.484187,0.271
4,0,256,voice-mono,clause-5,0.485533,0.485106,0.088
4,0,256,voice-stereo,as-built,0.525368,0.524973,0.228
4,0,256,voice-stereo,clause-5,0.530134,0.529618,0.202
4,0,256,gain-chain,as-built,0.407096,0.391891,0.382
4,0,256,gain-chain,clause-5,0.409411,0.407943,0.360
4,1,32,voice-mono,as-built,0.539271,0.539010,0.062
4,1,32,voice-mono,clause-5,0.540787,0.540004,0.145
4,1,32,voice-stereo,as-built,0.611399,0.611084,0.051
4,1,32,voice-stereo,clause-5,0.613625,0.613271,0.080
4,1,32,gain-chain,as-built,0.752636,0.751129,0.201
4,1,32,gain-chain,clause-5,0.762572,0.761761,0.670
4,2,64,voice-mono,as-built,0.511924,0.512055,0.238
4,2,64,voice-mono,clause-5,0.512695,0.512651,0.010
4,2,64,voice-stereo,as-built,0.563337,0.562271,0.144
4,2,64,voice-stereo,clause-5,0.568077,0.567914,0.050
4,2,64,gain-chain,as-built,0.542568,0.534706,2.224
4,2,64,gain-chain,clause-5,0.544550,0.547790,0.188
4,3,64b,voice-mono,as-built,0.512777,0.513342,0.100
4,3,64b,voice-mono,clause-5,0.512842,0.513096,0.067
4,3,64b,voice-stereo,as-built,0.562947,0.562807,0.056
4,3,64b,voice-stereo,clause-5,0.567090,0.567627,0.154
4,3,64b,gain-chain,as-built,0.541760,0.527606,2.479
4,3,64b,gain-chain,clause-5,0.542879,0.543783,1.005
4,4,128,voice-mono,as-built,0.492610,0.492751,0.087
4,4,128,voice-mono,clause-5,0.493267,0.495006,0.110
4,4,128,voice-stereo,as-built,0.538534,0.538168,0.150
4,4,128,voice-stereo,clause-5,0.541894,0.541858,0.080
4,4,128,gain-chain,as-built,0.438736,0.427120,0.234
4,4,128,gain-chain,clause-5,0.441676,0.440114,0.355
5,0,32,voice-mono,as-built,0.538937,0.538213,0.143
5,0,32,voice-mono,clause-5,0.542100,0.541500,0.087
5,0,32,voice-stereo,as-built,0.611003,0.612504,0.395
5,0,32,voice-stereo,clause-5,0.613288,0.613578,0.099
5,0,32,gain-chain,as-built,0.766232,0.760457,0.587
5,0,32,gain-chain,clause-5,0.773278,0.770631,1.983
5,1,64,voice-mono,as-built,0.510585,0.511167,0.137
5,1,64,voice-mono,clause-5,0.511932,0.512641,0.032
5,1,64,voice-stereo,as-built,0.562443,0.562139,0.177
5,1,64,voice-stereo,clause-5,0.566951,0.566945,0.188
5,1,64,gain-chain,as-built,0.542047,0.528400,0.377
5,1,64,gain-chain,clause-5,0.544738,0.548830,1.051
5,2,64b,voice-mono,as-built,0.511048,0.510699,0.140
5,2,64b,voice-mono,clause-5,0.511788,0.512227,0.117
5,2,64b,voice-stereo,as-built,0.562868,0.563143,0.064
5,2,64b,voice-stereo,clause-5,0.567130,0.566990,0.228
5,2,64b,gain-chain,as-built,0.552263,0.542309,1.925
5,2,64b,gain-chain,clause-5,0.545842,0.546847,0.184
5,3,128,voice-mono,as-built,0.493099,0.493703,0.178
5,3,128,voice-mono,clause-5,0.494397,0.494775,0.108
5,3,128,voice-stereo,as-built,0.537639,0.538555,0.353
5,3,128,voice-stereo,clause-5,0.541351,0.543703,0.380
5,3,128,gain-chain,as-built,0.441016,0.431134,1.775
5,3,128,gain-chain,clause-5,0.440655,0.444126,1.129
5,4,256,voice-mono,as-built,0.483318,0.483589,0.056
5,4,256,voice-mono,clause-5,0.485932,0.485644,0.059
5,4,256,voice-stereo,as-built,0.525748,0.525304,0.447
5,4,256,voice-stereo,clause-5,0.530654,0.530580,0.057
5,4,256,gain-chain,as-built,0.404442,0.406272,0.819
5,4,256,gain-chain,clause-5,0.413873,0.410292,0.872
6,0,64,voice-mono,as-built,0.511550,0.512996,0.082
6,0,64,voice-mono,clause-5,0.512773,0.512646,0.132
6,0,64,voice-stereo,as-built,0.562941,0.563737,0.109
6,0,64,voice-stereo,clause-5,0.567501,0.567008,0.087
6,0,64,gain-chain,as-built,0.552127,0.540296,1.393
6,0,64,gain-chain,clause-5,0.550800,0.548541,0.361
6,1,64b,voice-mono,as-built,0.510576,0.511382,0.167
6,1,64b,voice-mono,clause-5,0.512137,0.511639,0.097
6,1,64b,voice-stereo,as-built,0.563669,0.563721,0.009
6,1,64b,voice-stereo,clause-5,0.568253,0.567546,0.042
6,1,64b,gain-chain,as-built,0.548505,0.537776,0.916
6,1,64b,gain-chain,clause-5,0.548101,0.544337,0.669
