threshold,point,quantity,value,limit,met
E1,45,delta_cents,+0.001651,1.0,True
E2a,45,peak_ms,+10.0,10.0,True
E2a,45,rise_to_90_ms,+0.0,10.0,True
E2a,45,fall_to_50_ms,+10.0,10.0,True
E2a,45,tail_end_ms,+10.0,10.0,True
E3a,45,fundamental_band_delta_db,+0.0679,1.0,True
E1,57,delta_cents,-0.003612,1.0,True
E2a,57,peak_ms,+0.0,10.0,True
E2a,57,rise_to_90_ms,+0.0,10.0,True
E2a,57,fall_to_50_ms,+10.0,10.0,True
E2a,57,tail_end_ms,+10.0,10.0,True
E3a,57,fundamental_band_delta_db,+0.0680,1.0,True
E1,69,delta_cents,-0.000206,1.0,True
E2a,69,peak_ms,+0.0,10.0,True
E2a,69,rise_to_90_ms,+0.0,10.0,True
E2a,69,fall_to_50_ms,+20.0,10.0,False
E2a,69,tail_end_ms,+10.0,10.0,True
E3a,69,fundamental_band_delta_db,+0.0680,1.0,True
E1,81,delta_cents,+0.001032,1.0,True
E2a,81,peak_ms,+0.0,10.0,True
E2a,81,rise_to_90_ms,+0.0,10.0,True
E2a,81,fall_to_50_ms,+20.0,10.0,False
E2a,81,tail_end_ms,+10.0,10.0,True
E3a,81,fundamental_band_delta_db,+0.0680,1.0,True
E1,93,delta_cents,+0.000206,1.0,True
E2a,93,peak_ms,+0.0,10.0,True
E2a,93,rise_to_90_ms,+0.0,10.0,True
E2a,93,fall_to_50_ms,+20.0,10.0,False
E2a,93,tail_end_ms,+10.0,10.0,True
E3a,93,fundamental_band_delta_db,+0.0680,1.0,True
E1,105,delta_cents,+0.000000,1.0,True
E2a,105,peak_ms,+0.0,10.0,True
E2a,105,rise_to_90_ms,+0.0,10.0,True
E2a,105,fall_to_50_ms,+20.0,10.0,False
E2a,105,tail_end_ms,+10.0,10.0,True
E3a,105,fundamental_band_delta_db,+0.0680,1.0,True
E3b,aligned,band_315_delta_db,+0.0680,1.0,True
E3b,aligned,covered_bands,1,,
