mode,sweep,position,slot,engine,pair,variant,cost_ms_per_s,spread_percent
comparison,0,0,V1a,V1,voice-dsp,as-built,2.360296,1.2112
comparison,0,0,V1a,V1,whole-render,as-built,1.995092,0.3443
comparison,0,1,V1b,V1,voice-dsp,as-built,2.400699,0.0653
comparison,0,1,V1b,V1,whole-render,as-built,1.995839,0.3022
comparison,0,2,V2a,V2,voice-dsp,as-built,0.520795,0.3528
comparison,0,2,V2a,V2,voice-dsp,clause-5,0.526698,0.0180
comparison,0,2,V2a,V2,whole-render,as-built,0.533900,0.4608
comparison,0,3,V2b,V2,voice-dsp,as-built,0.523171,9.9923
comparison,0,3,V2b,V2,voice-dsp,clause-5,0.587231,0.0764
comparison,0,3,V2b,V2,whole-render,as-built,0.596684,0.4379
comparison,1,0,V1a,V1,voice-dsp,as-built,2.631828,0.4297
comparison,1,0,V1a,V1,whole-render,as-built,2.217877,0.0567
comparison,1,1,V1b,V1,voice-dsp,as-built,2.621397,0.1119
comparison,1,1,V1b,V1,whole-render,as-built,2.218558,0.0322
comparison,1,2,V2b,V2,voice-dsp,as-built,0.581139,0.1719
comparison,1,2,V2b,V2,voice-dsp,clause-5,0.583743,0.1711
comparison,1,2,V2b,V2,whole-render,as-built,0.535841,10.9021
comparison,1,3,V2a,V2,voice-dsp,as-built,0.520482,0.0305
comparison,1,3,V2a,V2,voice-dsp,clause-5,0.524081,0.1448
comparison,1,3,V2a,V2,whole-render,as-built,0.532804,0.6346
comparison,2,0,V1a,V1,voice-dsp,as-built,2.392797,0.0156
comparison,2,0,V1a,V1,whole-render,as-built,1.999083,0.1050
comparison,2,1,V2a,V2,voice-dsp,as-built,0.522182,0.0605
comparison,2,1,V2a,V2,voice-dsp,clause-5,0.524575,0.0542
comparison,2,1,V2a,V2,whole-render,as-built,0.532671,0.6661
comparison,2,2,V1b,V1,voice-dsp,as-built,2.397847,0.1322
comparison,2,2,V1b,V1,whole-render,as-built,1.997095,0.4209
comparison,2,3,V2b,V2,voice-dsp,as-built,0.525316,0.1444
comparison,2,3,V2b,V2,voice-dsp,clause-5,0.583723,0.1145
comparison,2,3,V2b,V2,whole-render,as-built,0.593650,0.1930
comparison,3,0,V1a,V1,voice-dsp,as-built,2.613188,0.9798
comparison,3,0,V1a,V1,whole-render,as-built,2.218081,0.1773
comparison,3,1,V2a,V2,voice-dsp,as-built,0.581285,0.0755
comparison,3,1,V2a,V2,voice-dsp,clause-5,0.584996,0.0931
comparison,3,1,V2a,V2,whole-render,as-built,0.593686,0.5141
comparison,3,2,V2b,V2,voice-dsp,as-built,0.581506,0.0355
comparison,3,2,V2b,V2,voice-dsp,clause-5,0.584358,0.0120
comparison,3,2,V2b,V2,whole-render,as-built,0.593839,0.2963
comparison,3,3,V1b,V1,voice-dsp,as-built,2.625796,0.2003
comparison,3,3,V1b,V1,whole-render,as-built,2.001052,2.4739
comparison,4,0,V1a,V1,voice-dsp,as-built,2.416578,0.0185
comparison,4,0,V1a,V1,whole-render,as-built,1.997442,0.9284
comparison,4,1,V2b,V2,voice-dsp,as-built,0.521560,0.2637
comparison,4,1,V2b,V2,voice-dsp,clause-5,0.524221,0.5840
comparison,4,1,V2b,V2,whole-render,as-built,0.534176,0.0985
comparison,4,2,V1b,V1,voice-dsp,as-built,2.399886,0.1174
comparison,4,2,V1b,V1,whole-render,as-built,1.997351,0.7217
comparison,4,3,V2a,V2,voice-dsp,as-built,0.527633,0.1275
comparison,4,3,V2a,V2,voice-dsp,clause-5,0.525503,11.5199
comparison,4,3,V2a,V2,whole-render,as-built,0.594212,0.5769
comparison,5,0,V1a,V1,voice-dsp,as-built,2.633910,0.0133
comparison,5,0,V1a,V1,whole-render,as-built,2.218319,0.1336
comparison,5,1,V2b,V2,voice-dsp,as-built,0.581193,0.1718
comparison,5,1,V2b,V2,voice-dsp,clause-5,0.585054,0.2634
comparison,5,1,V2b,V2,whole-render,as-built,0.592909,0.4840
comparison,5,2,V2a,V2,voice-dsp,as-built,0.581660,0.0477
comparison,5,2,V2a,V2,voice-dsp,clause-5,0.585316,0.0139
comparison,5,2,V2a,V2,whole-render,as-built,0.592909,0.0015
comparison,5,3,V1b,V1,voice-dsp,as-built,2.627470,1.1667
comparison,5,3,V1b,V1,whole-render,as-built,2.005304,8.5003
comparison,6,0,V1b,V1,voice-dsp,as-built,2.403070,0.5528
comparison,6,0,V1b,V1,whole-render,as-built,1.999885,0.4637
comparison,6,1,V1a,V1,voice-dsp,as-built,2.413121,0.1896
comparison,6,1,V1a,V1,whole-render,as-built,2.001403,0.5970
comparison,6,2,V2a,V2,voice-dsp,as-built,0.523387,0.9585
comparison,6,2,V2a,V2,voice-dsp,clause-5,0.524530,0.8162
comparison,6,2,V2a,V2,whole-render,as-built,0.533978,0.3337
comparison,6,3,V2b,V2,voice-dsp,as-built,0.520768,0.3456
comparison,6,3,V2b,V2,voice-dsp,clause-5,0.524343,2.1806
comparison,6,3,V2b,V2,whole-render,as-built,0.594316,0.1358
comparison,7,0,V1b,V1,voice-dsp,as-built,2.623933,0.0582
comparison,7,0,V1b,V1,whole-render,as-built,2.214133,0.2396
comparison,7,1,V1a,V1,voice-dsp,as-built,2.651813,0.1677
comparison,7,1,V1a,V1,whole-render,as-built,2.212423,0.1468
comparison,7,2,V2b,V2,voice-dsp,as-built,0.581673,0.3439
comparison,7,2,V2b,V2,voice-dsp,clause-5,0.585644,0.0228
comparison,7,2,V2b,V2,whole-render,as-built,0.592866,0.1902
comparison,7,3,V2a,V2,voice-dsp,as-built,0.521942,11.5568
comparison,7,3,V2a,V2,voice-dsp,clause-5,0.526684,1.3688
comparison,7,3,V2a,V2,whole-render,as-built,0.534425,0.2028
comparison,8,0,V1b,V1,voice-dsp,as-built,2.396843,0.8279
comparison,8,0,V1b,V1,whole-render,as-built,1.997068,0.9812
comparison,8,1,V2a,V2,voice-dsp,as-built,0.523163,0.6682
comparison,8,1,V2a,V2,voice-dsp,clause-5,0.523576,0.2176
comparison,8,1,V2a,V2,whole-render,as-built,0.536329,0.4915
comparison,8,2,V1a,V1,voice-dsp,as-built,2.410490,0.1258
comparison,8,2,V1a,V1,whole-render,as-built,2.003607,0.5315
comparison,8,3,V2b,V2,voice-dsp,as-built,0.521834,0.2647
comparison,8,3,V2b,V2,voice-dsp,clause-5,0.525058,1.2331
comparison,8,3,V2b,V2,whole-render,as-built,0.564656,5.7303
comparison,9,0,V1b,V1,voice-dsp,as-built,2.636032,0.2696
comparison,9,0,V1b,V1,whole-render,as-built,2.218786,0.0149
comparison,9,1,V2a,V2,voice-dsp,as-built,0.580484,0.2332
comparison,9,1,V2a,V2,voice-dsp,clause-5,0.585144,0.0286
comparison,9,1,V2a,V2,whole-render,as-built,0.592932,0.0430
comparison,9,2,V2b,V2,voice-dsp,as-built,0.581541,0.0421
comparison,9,2,V2b,V2,voice-dsp,clause-5,0.584859,0.0701
comparison,9,2,V2b,V2,whole-render,as-built,0.593479,0.0019
comparison,9,3,V1a,V1,voice-dsp,as-built,2.625078,0.3615
comparison,9,3,V1a,V1,whole-render,as-built,2.027195,9.8499
comparison,10,0,V1b,V1,voice-dsp,as-built,2.413617,0.6822
comparison,10,0,V1b,V1,whole-render,as-built,2.014378,0.0726
comparison,10,1,V2b,V2,voice-dsp,as-built,0.520827,2.4215
comparison,10,1,V2b,V2,voice-dsp,clause-5,0.523581,0.0605
comparison,10,1,V2b,V2,whole-render,as-built,0.534332,0.1519
comparison,10,2,V1a,V1,voice-dsp,as-built,2.420512,0.7566
comparison,10,2,V1a,V1,whole-render,as-built,2.016720,0.3524
comparison,10,3,V2a,V2,voice-dsp,as-built,0.521750,1.3090
comparison,10,3,V2a,V2,voice-dsp,clause-5,0.526832,1.4449
comparison,10,3,V2a,V2,whole-render,as-built,0.548632,8.5453
comparison,11,0,V1b,V1,voice-dsp,as-built,2.625985,1.1337
comparison,11,0,V1b,V1,whole-render,as-built,2.216603,0.1144
comparison,11,1,V2b,V2,voice-dsp,as-built,0.582213,0.0240
comparison,11,1,V2b,V2,voice-dsp,clause-5,0.583986,0.1867
comparison,11,1,V2b,V2,whole-render,as-built,0.594685,0.3914
comparison,11,2,V2a,V2,voice-dsp,as-built,0.582194,0.0342
comparison,11,2,V2a,V2,voice-dsp,clause-5,0.583827,0.2286
comparison,11,2,V2a,V2,whole-render,as-built,0.594644,0.3275
comparison,11,3,V1a,V1,voice-dsp,as-built,2.616254,0.1527
comparison,11,3,V1a,V1,whole-render,as-built,2.017996,10.0860
comparison,12,0,V2a,V2,voice-dsp,as-built,0.525244,0.1512
comparison,12,0,V2a,V2,voice-dsp,clause-5,0.531926,0.3502
comparison,12,0,V2a,V2,whole-render,as-built,0.534749,0.9766
comparison,12,1,V1a,V1,voice-dsp,as-built,2.423055,0.1370
comparison,12,1,V1a,V1,whole-render,as-built,2.021466,0.2265
comparison,12,2,V1b,V1,voice-dsp,as-built,2.431128,0.0909
comparison,12,2,V1b,V1,whole-render,as-built,2.004843,0.7124
comparison,12,3,V2b,V2,voice-dsp,as-built,0.526619,1.3018
comparison,12,3,V2b,V2,voice-dsp,clause-5,0.527076,1.9824
comparison,12,3,V2b,V2,whole-render,as-built,0.535348,10.9472
comparison,13,0,V2a,V2,voice-dsp,as-built,0.581629,0.0103
comparison,13,0,V2a,V2,voice-dsp,clause-5,0.587739,0.0235
comparison,13,0,V2a,V2,whole-render,as-built,0.593477,0.2249
comparison,13,1,V1a,V1,voice-dsp,as-built,2.625669,0.0963
comparison,13,1,V1a,V1,whole-render,as-built,2.217083,0.1692
comparison,13,2,V2b,V2,voice-dsp,as-built,0.583530,0.0246
comparison,13,2,V2b,V2,voice-dsp,clause-5,0.585645,0.0696
comparison,13,2,V2b,V2,whole-render,as-built,0.594401,0.3017
comparison,13,3,V1b,V1,voice-dsp,as-built,2.646047,0.1721
comparison,13,3,V1b,V1,whole-render,as-built,2.013460,10.1654
comparison,14,0,V2a,V2,voice-dsp,as-built,0.532876,0.1094
comparison,14,0,V2a,V2,voice-dsp,clause-5,0.527212,0.8133
comparison,14,0,V2a,V2,whole-render,as-built,0.535939,0.6858
comparison,14,1,V1b,V1,voice-dsp,as-built,2.422464,0.4292
comparison,14,1,V1b,V1,whole-render,as-built,2.028533,0.3467
comparison,14,2,V1a,V1,voice-dsp,as-built,2.431955,0.7167
comparison,14,2,V1a,V1,whole-render,as-built,2.019317,0.5780
comparison,14,3,V2b,V2,voice-dsp,as-built,0.530755,0.4014
comparison,14,3,V2b,V2,voice-dsp,clause-5,0.526589,1.1553
comparison,14,3,V2b,V2,whole-render,as-built,0.546096,9.2108
comparison,15,0,V2a,V2,voice-dsp,as-built,0.581066,0.2513
comparison,15,0,V2a,V2,voice-dsp,clause-5,0.585231,0.0629
comparison,15,0,V2a,V2,whole-render,as-built,0.593893,0.0110
comparison,15,1,V1b,V1,voice-dsp,as-built,2.627296,0.0520
comparison,15,1,V1b,V1,whole-render,as-built,2.215583,0.1922
comparison,15,2,V2b,V2,voice-dsp,as-built,0.581134,0.1410
comparison,15,2,V2b,V2,voice-dsp,clause-5,0.584315,0.2155
comparison,15,2,V2b,V2,whole-render,as-built,0.592988,0.1872
comparison,15,3,V1a,V1,voice-dsp,as-built,2.620621,0.4822
comparison,15,3,V1a,V1,whole-render,as-built,2.023712,9.5469
comparison,16,0,V2a,V2,voice-dsp,as-built,0.522048,0.9306
comparison,16,0,V2a,V2,voice-dsp,clause-5,0.524139,0.7086
comparison,16,0,V2a,V2,whole-render,as-built,0.531747,1.7614
comparison,16,1,V2b,V2,voice-dsp,as-built,0.521557,0.9221
comparison,16,1,V2b,V2,voice-dsp,clause-5,0.523375,0.5321
comparison,16,1,V2b,V2,whole-render,as-built,0.536564,0.1778
comparison,16,2,V1a,V1,voice-dsp,as-built,2.409654,0.9538
comparison,16,2,V1a,V1,whole-render,as-built,2.029173,0.0285
comparison,16,3,V1b,V1,voice-dsp,as-built,2.431384,0.7153
comparison,16,3,V1b,V1,whole-render,as-built,2.015885,1.2016
comparison,17,0,V2a,V2,voice-dsp,as-built,0.580715,0.2035
comparison,17,0,V2a,V2,voice-dsp,clause-5,0.584577,0.0650
comparison,17,0,V2a,V2,whole-render,as-built,0.595381,0.0032
comparison,17,1,V2b,V2,voice-dsp,as-built,0.581226,0.0196
comparison,17,1,V2b,V2,voice-dsp,clause-5,0.584321,0.0206
comparison,17,1,V2b,V2,whole-render,as-built,0.593367,0.3043
comparison,17,2,V1b,V1,voice-dsp,as-built,2.626341,0.1868
comparison,17,2,V1b,V1,whole-render,as-built,2.216871,0.0965
comparison,17,3,V1a,V1,voice-dsp,as-built,2.625585,0.1166
comparison,17,3,V1a,V1,whole-render,as-built,2.008853,10.5710
comparison,18,0,V2b,V2,voice-dsp,as-built,0.521930,0.0788
comparison,18,0,V2b,V2,voice-dsp,clause-5,0.526537,0.4240
comparison,18,0,V2b,V2,whole-render,as-built,0.532962,0.6292
comparison,18,1,V1a,V1,voice-dsp,as-built,2.420478,0.3044
comparison,18,1,V1a,V1,whole-render,as-built,2.007798,0.2110
comparison,18,2,V1b,V1,voice-dsp,as-built,2.418124,0.7925
comparison,18,2,V1b,V1,whole-render,as-built,2.021634,0.2470
comparison,18,3,V2a,V2,voice-dsp,as-built,0.526761,0.1938
comparison,18,3,V2a,V2,voice-dsp,clause-5,0.526660,1.8112
comparison,18,3,V2a,V2,whole-render,as-built,0.538326,1.0042
comparison,19,0,V2b,V2,voice-dsp,as-built,0.581763,0.0212
comparison,19,0,V2b,V2,voice-dsp,clause-5,0.585422,0.1989
comparison,19,0,V2b,V2,whole-render,as-built,0.593645,0.2051
comparison,19,1,V1a,V1,voice-dsp,as-built,2.628606,0.6923
comparison,19,1,V1a,V1,whole-render,as-built,2.214155,0.1174
comparison,19,2,V2a,V2,voice-dsp,as-built,0.582012,0.0838
comparison,19,2,V2a,V2,voice-dsp,clause-5,0.585750,0.0158
