mode,sweep,position,slot,engine,pair,variant,cost_ms_per_s,spread_percent
null,0,0,V2a,V2,voice-dsp,as-built,0.521262,0.2497
null,0,0,V2a,V2,voice-dsp,clause-5,0.527270,0.9462
null,0,0,V2a,V2,whole-render,as-built,0.536597,0.5445
null,0,1,V2b,V2,voice-dsp,as-built,0.522624,0.7168
null,0,1,V2b,V2,voice-dsp,clause-5,0.532259,0.4178
null,0,1,V2b,V2,whole-render,as-built,0.535767,1.4883
null,0,2,V2c,V2,voice-dsp,as-built,0.530965,0.2551
null,0,2,V2c,V2,voice-dsp,clause-5,0.529519,0.2656
null,0,2,V2c,V2,whole-render,as-built,0.537246,0.3562
null,0,3,V2d,V2,voice-dsp,as-built,0.521528,0.8735
null,0,3,V2d,V2,voice-dsp,clause-5,0.530578,0.0779
null,0,3,V2d,V2,whole-render,as-built,0.537059,0.4017
null,1,0,V2a,V2,voice-dsp,as-built,0.522792,0.0474
null,1,0,V2a,V2,voice-dsp,clause-5,0.525804,0.5163
null,1,0,V2a,V2,whole-render,as-built,0.536088,1.4035
null,1,1,V2b,V2,voice-dsp,as-built,0.523016,1.4173
null,1,1,V2b,V2,voice-dsp,clause-5,0.526638,0.7313
null,1,1,V2b,V2,whole-render,as-built,0.533388,1.2142
null,1,2,V2d,V2,voice-dsp,as-built,0.522885,0.2644
null,1,2,V2d,V2,voice-dsp,clause-5,0.530033,0.1781
null,1,2,V2d,V2,whole-render,as-built,0.536666,0.7150
null,1,3,V2c,V2,voice-dsp,as-built,0.527967,0.2745
null,1,3,V2c,V2,voice-dsp,clause-5,0.528399,0.1861
null,1,3,V2c,V2,whole-render,as-built,0.534729,1.7052
null,2,0,V2a,V2,voice-dsp,as-built,0.529839,0.8088
null,2,0,V2a,V2,voice-dsp,clause-5,0.569313,2.9810
null,2,0,V2a,V2,whole-render,as-built,0.594091,0.0083
null,2,1,V2c,V2,voice-dsp,as-built,0.582205,0.0424
null,2,1,V2c,V2,voice-dsp,clause-5,0.586247,0.0078
null,2,1,V2c,V2,whole-render,as-built,0.594704,0.0527
null,2,2,V2b,V2,voice-dsp,as-built,0.582127,0.1090
null,2,2,V2b,V2,voice-dsp,clause-5,0.585569,0.0153
null,2,2,V2b,V2,whole-render,as-built,0.594545,0.0294
null,2,3,V2d,V2,voice-dsp,as-built,0.582521,0.0779
null,2,3,V2d,V2,voice-dsp,clause-5,0.585495,0.1234
null,2,3,V2d,V2,whole-render,as-built,0.594536,0.0022
null,3,0,V2a,V2,voice-dsp,as-built,0.582296,0.0504
null,3,0,V2a,V2,voice-dsp,clause-5,0.586231,0.0770
null,3,0,V2a,V2,whole-render,as-built,0.595114,0.1282
null,3,1,V2c,V2,voice-dsp,as-built,0.582990,0.0181
null,3,1,V2c,V2,voice-dsp,clause-5,0.585531,0.0972
null,3,1,V2c,V2,whole-render,as-built,0.593892,0.0143
null,3,2,V2d,V2,voice-dsp,as-built,0.582598,0.0533
null,3,2,V2d,V2,voice-dsp,clause-5,0.585698,0.0531
null,3,2,V2d,V2,whole-render,as-built,0.594699,0.1248
null,3,3,V2b,V2,voice-dsp,as-built,0.582559,0.0302
null,3,3,V2b,V2,voice-dsp,clause-5,0.585858,0.0196
null,3,3,V2b,V2,whole-render,as-built,0.593926,0.1244
null,4,0,V2a,V2,voice-dsp,as-built,0.545138,7.0321
null,4,0,V2a,V2,voice-dsp,clause-5,0.524870,0.0436
null,4,0,V2a,V2,whole-render,as-built,0.533479,0.0462
null,4,1,V2d,V2,voice-dsp,as-built,0.522679,0.6204
null,4,1,V2d,V2,voice-dsp,clause-5,0.524830,0.3788
null,4,1,V2d,V2,whole-render,as-built,0.536798,0.0216
null,4,2,V2b,V2,voice-dsp,as-built,0.523074,1.3828
null,4,2,V2b,V2,voice-dsp,clause-5,0.525883,0.6163
null,4,2,V2b,V2,whole-render,as-built,0.536054,0.4686
null,4,3,V2c,V2,voice-dsp,as-built,0.522752,0.9118
null,4,3,V2c,V2,voice-dsp,clause-5,0.525719,0.6053
null,4,3,V2c,V2,whole-render,as-built,0.535253,0.0789
null,5,0,V2a,V2,voice-dsp,as-built,0.524214,0.6917
null,5,0,V2a,V2,voice-dsp,clause-5,0.528474,0.0311
